Feature,Absolute Coefficient
BsmtFinType2_Unf,0.0
BsmtFinType1_Unf,0.0
BsmtCond_Po,0.0
Foundation_Stone,0.0
Foundation_CBlock,0.0
Exterior2nd_Brk Cmn,0.0
ExterCond_TA,0.0
ExterQual_TA,0.0
ExterQual_Gd,0.0
MasVnrType_BrkFace,0.0
Exterior2nd_Wd Sdng,0.0
Exterior2nd_VinylSd,0.0
Exterior2nd_Stone,0.0
Exterior2nd_MetalSd,0.0
Exterior2nd_HdBoard,0.0
Exterior1st_ImStucc,0.0
